PGR ID,PGR Name,BZR ID,BZR Name,PLR ID,PLR Name
0710,Schöneberg Nord,071001,Schöneberg Nordwest,07100101,Wittenbergplatz
,,,,07100102,Kalckreuthstraße
,,,,07100103,Frobenstraße
,,071002,Schöneberg Nordost,07100204,Barbarossaplatz
,,,,07100205,Alvenslebenstraße
,,,,07100206,Großgörschenstraße
0720,Schöneberg Süd,072003,Schöneberg Südwest,07200307,Bayerischer Platz
,,,,07200308,Volkspark (Rudolph- Wilde-Park)
,,072004,Schöneberg Südost,07200409,Belziger Straße
,,,,07200410,Feurigstraße
,,,,07200411,Julius-Leber-Brücke
,,,,07200412,Schöneberger Linse
,,,,07200413,Cheruskerstraße
,,,,07200414,Hohenfriedbergstraße
0730,Friedenau,073005,Friedenau West,07300515,Taunusstraße
,,,,07300516,Odenwaldstraße
,,,,07300517,Perelsplatz
,,073006,Friedenau Ost,07300618,Ceciliengärten
,,,,07300619,Grazer Platz
0740,Tempelhof,074007,Tempelhof Nord,07400720,Gontermannstraße
,,,,07400721,Paradestraße
,,074008,Tempelhof Südwest,07400822,Lindenhofsiedlung
,,,,07400823,Wittekindstraße
,,,,07400824,Bosepark
,,,,07400825,Friedrich-Karl-Straße
,,,,07400826,Marienhöhe
,,074009,Tempelhof Südost,07400927,Rathaus Tempelhof
,,,,07400928,Germaniagarten
0750,Mariendorf,075010,Mariendorf Nord,07501029,Ringstraße
,,,,07501030,Machonstraße
,,,,07501031,Eisenacher Straße
,,,,07501032,Imbrosweg
,,075011,Mariendorf Süd,07501133,Fritz-Werner-Straße
,,,,07501134,Hundsteinweg
,,,,07501135,Birnhornweg
0760,Marienfelde / Lichtenrade,076012,Marienfelde Nord,07601236,Marienfelder Allee Nordwest
,,,,07601237,Kirchstraße
,,,,07601238,Marienfelde Nordost
,,076013,Marienfelde Süd,07601339,"Tirschenreuther Ring
West"
,,,,07601340,Tirschenreuther Ring Ost
,,,,07601341,Diedersdorfer Weg
,,076014,Lichtenrade Nord,07601442,Kettinger Straße
,,,,07601443,Töpchiner Weg
,,076015,Lichtenrade Süd,07601544,John-Locke-Straße
,,,,07601545,Nahariyastraße
,,,,07601546,Franziusweg
,,,,07601547,Horstwalder Straße
,,,,07601548,Wittelsbacherstraße
0810,Neukölln,081001,Schillerpromenade,08100101,Hasenheide
,,,,08100102,Schillerpromenade Nord
,,,,08100103,Schillerpromenade Süd
,,,,08100104,Wartheplatz
,,,,08100105,Silbersteinstraße
,,081002,Neuköllner Mitte / Zentrum,08100206,Flughafenstraße
,,,,08100207,Rollberg
,,,,08100208,Körnerpark
,,,,08100209,Glasower Straße
,,081003,Reuterstraße,08100310,Maybachufer
,,,,08100311,Reuterplatz
,,,,08100312,Weichselplatz
,,,,08100313,Bouchéstraße
,,,,08100314,Donaustraße
,,081004,Rixdorf,08100415,Ganghoferstraße
,,,,08100416,Alt-Rixdorf
,,,,08100417,Braunschweiger Straße
,,,,08100418,Hertzbergplatz
,,,,08100419,Treptower Straße Nord
,,081005,Köllnische Heide,08100520,Weiße Siedlung
,,,,08100521,Schulenburgpark
0820,Britz / Buckow,082006,Britz Nord,08200622,Jahnstraße
,,,,08200623,Park am Buschkrug
,,,,08200624,Tempelhofer Weg
,,082007,Britz,08200725,Mohriner Allee Nord
,,,,08200726,Hufeisensiedlung
,,,,08200727,Parchimer Allee Süd
,,,,08200728,Ortolanweg
,,,,08200729,Britzer Garten
,,,,08200730,Handwerker-Siedlung
,,082008,Buckow,08200831,Buckow West
,,,,08200832,Buckow Mitte
,,,,08200833,Buckow Ost
0830,Gropiusstadt,083009,Gropiusstadt West,08300934,Gropiusstadt Nord-West
,,,,08300935,Gropiusstadt Süd-West
,,083010,Gropiusstadt Ost,08301036,Gropiusstadt Mitte
,,,,08301037,Gropiusstadt Süd-Ost
0840,Buckow Nord / Rudow,084011,Buckow Nord,08401138,Goldhähnchenweg
,,,,08401139,Vogelviertel Süd
,,,,08401140,Vogelviertel Nord
,,084012,Rudow,08401241,Blumenviertel
,,,,08401242,Zittauer Straße
,,,,08401243,Alt-Rudow
,,,,08401244,"Waßmannsdorfer
Chaussee"
,,,,08401245,Frauenviertel
,,,,08401246,Waltersdorfer Chaussee Ost
0910,Treptow- Köpenick 1,091001,Alt-Treptow,09100101,Alt-Treptow
,,091002,Plänterwald,09100202,Plänterwald West
,,,,09100203,Plänterwald Ost
,,091003,Baumschulenweg,09100304,Baumschulenweg West
,,,,09100305,Baumschulenweg Ost
,,,,09100306,Späthsfelde
,,091004,Johannisthal,09100407,Johannisthal West
,,,,09100408,Johannisthal Ost
,,,,09100409,Landschaftspark Adlershof
0920,Treptow- Köpenick 2,092005,Oberschöneweide,09200510,Helmholtz-Kiez
,,,,09200511,Griechischer Park
,,,,09200512,Wuhlheide
,,092006,Niederschöne- weide,09200613,Bahnhof Schöneweide
,,,,09200614,Oberspree
,,092007,Adlershof,09200715,Wista
,,,,09200716,Dörpfeldstraße West
,,,,09200717,Dörpfeldstraße Ost
,,092008,"Köllnische Vorstadt /
Spindlersfeld",09200818,Spindlersfeld
,,,,09200819,Köllnische Vorstadt
0930,Treptow- Köpenick 3,093009,Altglienicke,09300920,Dorf Altglienicke
,,,,09300921,Preußen Siedlung
,,,,09300922,Kosmos Viertel
,,,,09300923,Kölner Viertel
,,093010,Bohnsdorf,09301024,Falkenberg
,,,,09301025,Alt-Bohnsdorf
,,093011,Grünau,09301126,Grünau
,,093012,Schmöckwitz,09301227,Karolinenhof
,,,,09301228,Schmöckwitz/Rauchfang swerder
0940,Treptow- Köpenick 4,094013,Köpenick Süd,09401329,Kietzer Feld/Nachtheide
,,,,09401330,Wendenschloß
